温故知新,おんこちしん
唯我独尊,ゆいがどくそん
絶体絶命,ぜったいぜつめい
臥薪嘗胆,がしんしょうたん
本末転倒,ほんまつてんとう
一期一会,いちごいちえ
一喜一憂,いっきいちゆう
喜怒哀楽,きどあいらく
花鳥風月,かちょうふうげつ
明鏡止水,めいきょうしすい
初志貫徹,しょしかんてつ
色即是空,しきそくぜくう
一蓮托生,いちれんたくしょう
大器晩成,たいきばんせい
一石二鳥,いっせきにちょう
酒池肉林,しゅちにくりん
臨機応変,りんきおうへん
疑心暗鬼,ぎしんあんき
日進月歩,にっしんげっぽ
阿鼻叫喚,あびきょうかん
厚顔無恥,こうがんむち
時期尚早,じきしょうそう
我武者羅,がむしゃら
所謂,いわゆる
案山子,かかし
土竜,もぐら
英雄好色,えいゆうこうしょく
勇猛果敢,ゆうもうかかん
一心精進,いっしんしょうじん
一朝一夕,いっちょういっせき
一長一短,いっちょういったん
千差万別,せんさばんべつ
千変万化,せんぺんばんか
三位一体,さんみいったい
孤立無援,こりつむえん
心機一転,しんきいってん
威風堂々,いふうどうどう
不協和音,ふきょうわおん
有言実行,ゆうげんじっこう
油断大敵,ゆだんたいてき
大願成就,たいがんじょうじゅ
一日千秋,いちじつせんしゅう
以心伝心,いしんでんしん
無病息災,むびょうそくさい
